dis	rel	gene
C0522055	disease_gene	RPL35A
C0152415	disease_gene	FERMT1
C0282160	disease_gene	COL17A1
C0280631	disease_gene	FGFR3
C0349639	disease_gene	RRAS2
C1836996	disease_gene	MED12
C1857130	disease_gene	GTF2I
C1458155	disease_gene	MFGE8
C0423903	disease_gene	SLC4A4
C0041755	disease_gene	EPHX2
C0151744	disease_gene	RAB12
C0034194	disease_gene	BCOR
C1842820	disease_gene	COX3
C0023473	disease_gene	PER2
C0339063	disease_gene	COL7A1
C1848924	disease_gene	TK2
C0008073	disease_gene	SHANK3
C0027404	disease_gene	ZNF365
C3665347	disease_gene	FBN2
C0011860	disease_gene	IAPP
C0019209	disease_gene	PCCB
C0392386	disease_gene	FOXP3
C1836830	disease_gene	NDUFS2
C4025198	disease_gene	ITGB2
C1859126	disease_gene	PEX13
C0151718	disease_gene	SAR1B
C4020875	disease_gene	COX15
C0271215	disease_gene	GRIP1
C0151786	disease_gene	ND4
C0917805	disease_gene	THPO
C0162871	disease_gene	AGT
C0015967	disease_gene	HMGB1
C0008925	disease_gene	ARVCF
C1848490	disease_gene	CLP1
C0028754	disease_gene	PPARGC1B
C0039070	disease_gene	KCNH2
C4024159	disease_gene	GHR
C0033774	disease_gene	TNFRSF1B
C3160738	disease_gene	FANCD2
C3714756	disease_gene	ERCC4
C2674608	disease_gene	KIAA0586
C1857632	disease_gene	NPAP1
C0541794	disease_gene	NDUFS3
C3551535	disease_gene	CCND2
C1720189	disease_gene	CACNA1A
C2700617	disease_gene	VCP
C1854301	disease_gene	SNRPN
C0151879	disease_gene	CACNA1C
C4280651	disease_gene	SIX6
C0746940	disease_gene	C2CD3
C4280644	disease_gene	RPL10
C1858574	disease_gene	HLA-DRA
C0025990	disease_gene	KRAS
C0042487	disease_gene	JAK2
C1867446	disease_gene	ITGA3
C4025626	disease_gene	VHL
C4255213	disease_gene	AP1S2
C1844382	disease_gene	CYBB
C1837514	disease_gene	NR3C2
C0332606	disease_gene	GTF2I
C0748720	disease_gene	TAPBP
C1865918	disease_gene	KIF21A
C0266544	disease_gene	RAB23
C4082299	disease_gene	ACTA1
C1862425	disease_gene	FLNA
C4020892	disease_gene	DHODH
C0038379	disease_gene	ERLIN2
C0151686	disease_gene	DPYS
C0036572	disease_gene	FGFRL1
C0302501	disease_gene	RECQL4
C0344559	disease_gene	PITX2
C0024236	disease_gene	NAGA
C0020534	disease_gene	CENPF
C0015967	disease_gene	ASPG
C0232466	disease_gene	NEB
C0007102	disease_gene	KRAS
C0424688	disease_gene	SOX10
C0009404	disease_gene	NTNG1
C0038220	disease_gene	SCN8A
C0008525	disease_gene	CHM
C0034012	disease_gene	ANOS1
C4082168	disease_gene	RPS19
C0424585	disease_gene	SNAP25
C4225285	disease_gene	MYO18B
C0004134	disease_gene	SLC2A1
C0205700	disease_gene	GNS
C4020884	disease_gene	PFN1
C0575081	disease_gene	WNT1
C1850049	disease_gene	RAI1
C4021093	disease_gene	C9
C4021741	disease_gene	PEX19
C0541764	disease_gene	DUSP6
C0023467	disease_gene	ADCY7
C0004158	disease_gene	PDGFRB
C1848924	disease_gene	NDUFS8
C4021759	disease_gene	IER3IP1
C0020534	disease_gene	PAX2
C4020886	disease_gene	MRE11
C0027092	disease_gene	PRDM5
C4021550	disease_gene	SRY
C1842153	disease_gene	COL9A2
C3887499	disease_gene	PRKCSH
C1837388	disease_gene	BCS1L
C1850259	disease_gene	GDF5
C0678230	disease_gene	PQBP1
C0024312	disease_gene	TINF2
C0423903	disease_gene	SH2B1
C0023269	disease_gene	DMD
C0031269	disease_gene	STK11
C0027627	disease_gene	YWHAE
C0235946	disease_gene	NTNG1
C0018772	disease_gene	ITM2B
C0025362	disease_gene	SMARCA4
C0040015	disease_gene	GFI1B
C1866430	disease_gene	DRD4
C0158733	disease_gene	DYNC2LI1
C0027430	disease_gene	DNAI1
C0035229	disease_gene	COX2
C0014544	disease_gene	MPDZ
C0234958	disease_gene	COL2A1
C1840077	disease_gene	FLII
C0019555	disease_gene	TRAIP
C0020534	disease_gene	ZNF592
C4280598	disease_gene	PPP2R1A
C1136249	disease_gene	SYP
C0025362	disease_gene	ITPR1
C0024433	disease_gene	AP4E1
C0014544	disease_gene	LETM1
C4072832	disease_gene	COX7B
C1836057	disease_gene	FLNC
C0220697	disease_gene	WDR60
C1848580	disease_gene	MMACHC
C0008297	disease_gene	POR
C0031099	disease_gene	ITGB2
C1856954	disease_gene	LAMB3
C0028738	disease_gene	PLA2G6
C1855996	disease_gene	XPC
C0005745	disease_gene	POLG
C0007621	disease_gene	MIR34C
C4072824	disease_gene	LRP5
C0035309	disease_gene	TREX1
C1832603	disease_gene	TRNE
C1167713	disease_gene	PLK4
C0001969	disease_gene	ALDH2
C0854107	disease_gene	COL1A2
C1385263	disease_gene	PDE6D
C1866862	disease_gene	DLD
C0878555	disease_gene	DPCR1
C0744641	disease_gene	RPL15
C1843367	disease_gene	RAB3GAP1
C4020875	disease_gene	AP4S1
C4280651	disease_gene	FBN1
C0029089	disease_gene	MAK
C0008677	disease_gene	DNAAF5
C0035828	disease_gene	ANK2
C4020876	disease_gene	STIL
C1142533	disease_gene	SMC1A
C0018834	disease_gene	LBR
C1842353	disease_gene	OTSC3
C0238621	disease_gene	NEU1
C4025662	disease_gene	MAP2K1
C4021800	disease_gene	CEP152
C0271901	disease_gene	TRNT1
C3665347	disease_gene	TUBGCP4
C0030193	disease_gene	CNR1
C4280617	disease_gene	TECPR2
C1859678	disease_gene	EIF2B4
C1845847	disease_gene	LIMK1
C4025790	disease_gene	DGCR2
C0231807	disease_gene	SH2B3
C0023473	disease_gene	IFNA2
C1269683	disease_gene	NR3C1
C3266898	disease_gene	PAX3
C0206698	disease_gene	ERBB2
C0028077	disease_gene	RDH5
C4020899	disease_gene	LARGE1
C0393593	disease_gene	THAP1
C1855179	disease_gene	CRYBA2
C0432040	disease_gene	TXNL4A
C1839829	disease_gene	TRPS1
C0917816	disease_gene	ADGRG1
C0033975	disease_gene	BCL9
C0149931	disease_gene	RPL26
C0005612	disease_gene	HFE
C0007222	disease_gene	YWHAE
C0023343	disease_gene	PACRG
C0010417	disease_gene	GRIP1
C0265998	disease_gene	ATP6V1B2
C0522153	disease_gene	ABCC2
C0003886	disease_gene	DHCR24
C0751688	disease_gene	CDKN2A
C0033578	disease_gene	KLF6
C0038362	disease_gene	XRCC1
C4020899	disease_gene	TAPBP
C2676137	disease_gene	RPS19
C1269683	disease_gene	CTNND2
C0003123	disease_gene	TRNS2
C4280574	disease_gene	TAF2
C0042133	disease_gene	HMGA2
C0028768	disease_gene	SMC1A
C0032927	disease_gene	MIR125A
C0751778	disease_gene	GRN
C0694550	disease_gene	CD79B
C0005744	disease_gene	TBL2
C4020899	disease_gene	NEB
C0036341	disease_gene	MLC1
C0085681	disease_gene	PDE4D
C4022675	disease_gene	GNRH1
C0038002	disease_gene	CASP10
C1850667	disease_gene	SQSTM1
C0023186	disease_gene	IL1B
C1833325	disease_gene	TNFRSF11A
C1458155	disease_gene	CYP1A1
C1857486	disease_gene	WDPCP
C0856727	disease_gene	CYP7A1
C0678230	disease_gene	AHI1
C0035229	disease_gene	PEX7
C4072825	disease_gene	GLB1
C0426790	disease_gene	LBR
C0007785	disease_gene	ALOX5AP
C0151766	disease_gene	ADA2
C0028754	disease_gene	CRB1
C2748652	disease_gene	RAI1
C0151786	disease_gene	PFKM
C0022521	disease_gene	RSPH1
C0948896	disease_gene	NR0B1
C1442903	disease_gene	IDH2
C2053437	disease_gene	INSR
C0013405	disease_gene	MYH11
C0338575	disease_gene	PLAU
C0042870	disease_gene	VDR
C1269683	disease_gene	TEF
C1834870	disease_gene	DCC
C0151878	disease_gene	CACNA1C
C0013182	disease_gene	GSTP1
C4274761	disease_gene	TBX6
C1843367	disease_gene	ROM1
C4024853	disease_gene	GGCX
C4280626	disease_gene	TP63
C0018817	disease_gene	SHOC2
C0156394	disease_gene	FGFR2
C0005745	disease_gene	ALX3
C1857828	disease_gene	NOS1AP
C0020305	disease_gene	HADHA
C0302885	disease_gene	SOX9
C4280612	disease_gene	RFC2
C4020899	disease_gene	MYBPC1
C0233794	disease_gene	COX1
C3550546	disease_gene	GJA1
C0009404	disease_gene	CRCS5
C1510497	disease_gene	FLNB
C0023531	disease_gene	CTTN
C0013491	disease_gene	GFI1B
C0013421	disease_gene	ARSA
C0032460	disease_gene	LPCAT2
C0005587	disease_gene	SLC6A4
C4024706	disease_gene	PRPS1
C0233715	disease_gene	ALDH5A1
C0747078	disease_gene	POU1F1
C1865916	disease_gene	PLAGL1
C1862871	disease_gene	ITPR2
C4225190	disease_gene	TMEM199
C0423798	disease_gene	ITGB3
C1864897	disease_gene	TNFRSF11A
C0029124	disease_gene	NDUFA9
C1969029	disease_gene	TUBA1A
C0917816	disease_gene	PEX5
C1835579	disease_gene	EXT2
C4020884	disease_gene	DUSP6
C0040822	disease_gene	SLC20A2
C1854114	disease_gene	KCNJ11
C0564408	disease_gene	CCK
C0426414	disease_gene	DVL1
C0026010	disease_gene	FOXE3
C4020899	disease_gene	GFPT1
C0149931	disease_gene	GDF2
C0553706	disease_gene	TNFRSF11B
C4024748	disease_gene	MKS1
C0221629	disease_gene	VAPB
C0014544	disease_gene	GUCY2D
C0027055	disease_gene	ADIPOQ
C1835896	disease_gene	KIF1A
C0026826	disease_gene	OXT
C1846460	disease_gene	FGFR3
C0018808	disease_gene	FBN1
C4280595	disease_gene	LETM1
C0240635	disease_gene	SOS1
C1843367	disease_gene	SMAD4
C0024437	disease_gene	ABCC6
C4277682	disease_gene	CLU
C0038356	disease_gene	SNAI1
C4280574	disease_gene	SKI
C0522055	disease_gene	HCCS
C4020899	disease_gene	LAMC3
C0234376	disease_gene	PPP2R2B
C2227134	disease_gene	RNF125
C1836735	disease_gene	SOX10
C0002878	disease_gene	NT5C3A
C1857632	disease_gene	MKRN3
C4012968	disease_gene	TBX2
C0037932	disease_gene	GUSB
C1855996	disease_gene	PEX5
C0003811	disease_gene	PTPN11
C0267456	disease_gene	PCSK1
C2930865	disease_gene	WNT7A
C0010495	disease_gene	ALDH18A1
C0424503	disease_gene	DPYS
C1839758	disease_gene	MEIS2
C0086795	disease_gene	ARSB
C0423823	disease_gene	EZH2
C0030353	disease_gene	IDS
C0349588	disease_gene	TUBGCP4
C0221260	disease_gene	ATL1
C3714756	disease_gene	CDK6
C1956125	disease_gene	JAG1
C0009451	disease_gene	SEC24D
C0007193	disease_gene	ITGB1
C3495559	disease_gene	AVL9
C0085636	disease_gene	ERCC2
C0038454	disease_gene	ACAD9
C0240295	disease_gene	FGF3
C0221766	disease_gene	GPC4
C4280612	disease_gene	MLXIPL
C4280664	disease_gene	ETFB
C1836940	disease_gene	TREM2
C0262404	disease_gene	PCNA
C0025261	disease_gene	HRH3
C0008925	disease_gene	RECQL4
C0020757	disease_gene	ALDH3A2
C1609528	disease_gene	SLC12A6
C0035309	disease_gene	SAR1B
C4280611	disease_gene	P4HB
C0035222	disease_gene	CHPT1
C0917816	disease_gene	MAPK10
C0393576	disease_gene	XK
C4280576	disease_gene	VCP
C0728829	disease_gene	APTX
C0853945	disease_gene	COL17A1
C4020875	disease_gene	MECP2
C1458155	disease_gene	BRCA2
C0007102	disease_gene	MSH6
C1842404	disease_gene	SPINK1
C0018784	disease_gene	COX3
C4280495	disease_gene	IDUA
C0423903	disease_gene	MAP2K1
C0007785	disease_gene	F5
C0025202	disease_gene	TNC
C1838869	disease_gene	VCP
C4020899	disease_gene	DSTYK
C1860844	disease_gene	TINF2
C0700635	disease_gene	ACP5
C1840077	disease_gene	PEX2
C0027708	disease_gene	PAX6
C0003076	disease_gene	ELP4
C1857278	disease_gene	GLI2
C0432163	disease_gene	KRAS
C1840077	disease_gene	RGR
C1851833	disease_gene	COL1A1
C4021998	disease_gene	ADAMTSL2
C0678230	disease_gene	GJA1
C0042510	disease_gene	DSP
C0424810	disease_gene	GTF2IRD1
C0427065	disease_gene	BIN1
C1854885	disease_gene	PHGDH
C0013336	disease_gene	PTH1R
C4021786	disease_gene	SAG
C0267456	disease_gene	ALG3
C0085548	disease_gene	IFT88
C0036095	disease_gene	FANCA
C0454644	disease_gene	BSCL2
C0266423	disease_gene	PDE6G
C0027697	disease_gene	COL4A4
C0162119	disease_gene	CA2
C0544755	disease_gene	COL9A2
C3150653	disease_gene	RAD51C
C0544886	disease_gene	TAF15
C4225172	disease_gene	EMC1
C0030312	disease_gene	TALDO1
C0268255	disease_gene	SOD2
C1842587	disease_gene	FGF14
C0015967	disease_gene	AVPR2
C0236733	disease_gene	GDNF
C0423903	disease_gene	ATP5E
C0038002	disease_gene	IL7R
C1836003	disease_gene	SOST
C1864985	disease_gene	NDUFS3
C4020874	disease_gene	PHKG2
C0042384	disease_gene	CBL
C0032617	disease_gene	SLC12A3
C0278124	disease_gene	COL12A1
C0221260	disease_gene	FOXN1
C0009404	disease_gene	ABCC13
C1868071	disease_gene	APC
C1832394	disease_gene	CDH23
C0036341	disease_gene	DRD3
C4020899	disease_gene	AKR1D1
C0423250	disease_gene	ERCC6
C1843108	disease_gene	SIN3A
C1837514	disease_gene	FKBP14
C0423112	disease_gene	FANCC
C3810185	disease_gene	C15orf41
C0685381	disease_gene	WNT7A
C1857130	disease_gene	CHRND
C0086543	disease_gene	LONP1
C4280532	disease_gene	TUBGCP4
C0034935	disease_gene	ABCB7
C0456070	disease_gene	MALT1
C0035078	disease_gene	APRT
C0025362	disease_gene	DDX3X
C0014544	disease_gene	GRIN2A
C1847879	disease_gene	SYN1
C2931456	disease_gene	HOXB13
C0026010	disease_gene	PTCH1
C2674608	disease_gene	CHRNE
C0002871	disease_gene	ITGB3
C1855019	disease_gene	PEX16
C0026884	disease_gene	MAPT
C0241210	disease_gene	BBS4
C1843367	disease_gene	BRCA2
C4024989	disease_gene	SRC
C0917816	disease_gene	DMD
C0022906	disease_gene	NHP2
C4020855	disease_gene	MECP2
C0029443	disease_gene	CD79B
C0525045	disease_gene	ADRA2C
C0011570	disease_gene	HSD11B1
C4021611	disease_gene	BMPR1B
C0014850	disease_gene	ITGA6
C0026826	disease_gene	TINF2
C1449861	disease_gene	PPP2R2A
C1168401	disease_gene	PTEN
C4280495	disease_gene	MEF2C
C1858574	disease_gene	SRA1
C4280262	disease_gene	GTF2I
C0014544	disease_gene	ASS1
C3697269	disease_gene	SIN3A
C0027066	disease_gene	POMGNT1
C0004096	disease_gene	SDCCAG8
C1858430	disease_gene	PLEC
C0221204	disease_gene	CCR6
C4020899	disease_gene	HPS5
C4280656	disease_gene	PEX19
C0346153	disease_gene	XRCC2
C0424448	disease_gene	SLC20A2
C1837760	disease_gene	LZTR1
C0263491	disease_gene	NECTIN1
C4020887	disease_gene	PDE6H
C0020542	disease_gene	CAV1
C2675210	disease_gene	PROM1
C4280567	disease_gene	FLNA
C0525045	disease_gene	CLOCK
C0265696	disease_gene	RPS6KA3
C0266295	disease_gene	PDE6D
C0018801	disease_gene	SLC9A1
C1854113	disease_gene	RREB1
C0030297	disease_gene	PALB2
C0085680	disease_gene	SLC26A3
C0018777	disease_gene	COMT
C0403447	disease_gene	AOC3
C0265221	disease_gene	POMGNT2
C0022821	disease_gene	ERCC8
C1861195	disease_gene	ACTN1
C0423903	disease_gene	ACSL4
C0234632	disease_gene	MMP19
C0035334	disease_gene	RIMS1
C4020876	disease_gene	ACAT1
C0038587	disease_gene	BDNF
C0266383	disease_gene	BMP15
C0034895	disease_gene	IL10RB
C2677869	disease_gene	HPS1
C1854494	disease_gene	STIM1
C2718128	disease_gene	LRRC6
C0700208	disease_gene	SMARCE1
C2931002	disease_gene	ALG8
C0027439	disease_gene	EGFR
C0685682	disease_gene	GLI2
C0036341	disease_gene	VGF
C1969680	disease_gene	PTH1R
C0376480	disease_gene	C1S
C0015672	disease_gene	PFN1
C0009404	disease_gene	SH3TC1
C0423903	disease_gene	PAX6
C0036572	disease_gene	NRP2
C0259817	disease_gene	ERCC3
C1864897	disease_gene	MMACHC
C1837385	disease_gene	NDUFS6
C0029453	disease_gene	ADAMTSL2
C3552713	disease_gene	MYBPC1
C1854699	disease_gene	FMR1
C0007758	disease_gene	ND4L
C0005745	disease_gene	MASP1
C1849367	disease_gene	PRPF3
C0427068	disease_gene	GABRA3
C0409338	disease_gene	COL6A1
C1854301	disease_gene	PCBD1
C0856975	disease_gene	TMEM216
C0598608	disease_gene	DES
C4049796	disease_gene	FRA16E
C3551535	disease_gene	ELN
C0021368	disease_gene	NLRP3
C0267963	disease_gene	JAG1
C0240295	disease_gene	CASK
C0022596	disease_gene	KRAS
C0036341	disease_gene	HDAC4
C0557874	disease_gene	BMP2
C3280153	disease_gene	PGAP2
C0019209	disease_gene	PEX13
C0423110	disease_gene	SIX6
C0020534	disease_gene	PPP2R1A
C0541764	disease_gene	TRH
C1848673	disease_gene	WNT7A
C4024615	disease_gene	LMNA
C0278124	disease_gene	SNAP25
C1846434	disease_gene	FLNA
C1843367	disease_gene	AHI1
C0270853	disease_gene	EJM3
C0043020	disease_gene	SIRT1
C3714756	disease_gene	MFSD2A
C0546389	disease_gene	ETFB
C0085109	disease_gene	COMT
C1854494	disease_gene	FAM134B
C0018798	disease_gene	AHR
C0026827	disease_gene	ALG3
C0333913	disease_gene	EDNRB
C0557874	disease_gene	COL5A1
C0005745	disease_gene	BDNF
C1846145	disease_gene	MRXS11
C0271623	disease_gene	GNRHR
C0151744	disease_gene	MAPK14
C0004943	disease_gene	ITGB2
C3495559	disease_gene	STIM1
C4280653	disease_gene	CUL7
C0035126	disease_gene	EFNA5
C4020899	disease_gene	PSMB8
C0578682	disease_gene	RIPK4
C1836195	disease_gene	PTH1R
C1857276	disease_gene	SKIV2L
C0234132	disease_gene	BCAP31
C0033847	disease_gene	XYLT2
C3714756	disease_gene	DYM
C0023467	disease_gene	PIM2
C0033860	disease_gene	CSMD1
C0043094	disease_gene	LEP
C0746926	disease_gene	ACVR1
C4020899	disease_gene	SGCA
C0949804	disease_gene	CCL4
C4020874	disease_gene	ABCC8
C4020876	disease_gene	SMARCA4
C1306710	disease_gene	ZIC1
C0021368	disease_gene	TF
C0262630	disease_gene	SOBP
C4023188	disease_gene	TSHR
C1857130	disease_gene	HBA2
C4072822	disease_gene	SHPK
C0011053	disease_gene	KMT2D
C0041955	disease_gene	AHR
C1846423	disease_gene	ABCC9
C1842003	disease_gene	JAK2
C0027659	disease_gene	SPARC
C0034150	disease_gene	AIP
C0018799	disease_gene	MT2A
C0151686	disease_gene	MUT
C0271578	disease_gene	AIP
C0025568	disease_gene	EGF
C4072824	disease_gene	NIPBL
C1843367	disease_gene	DGCR6
C0013384	disease_gene	GCDH
C1269683	disease_gene	MDM4
C0239067	disease_gene	POMGNT1
C1848570	disease_gene	TAZ
C3714581	disease_gene	CHRM3
C0032460	disease_gene	HSD3B1
C0007621	disease_gene	EBF1
C0030305	disease_gene	AP2S1
C1844820	disease_gene	COL5A1
C4025321	disease_gene	AKT1
C1854114	disease_gene	ROR2
C0239676	disease_gene	SIX6
C0566899	disease_gene	SMC3
C0348616	disease_gene	FLNC
C4025821	disease_gene	TRNL1
C0149931	disease_gene	TRNC
C0426414	disease_gene	STAMBP
C4020876	disease_gene	KCNJ1
C4021957	disease_gene	BTK
C1956257	disease_gene	LZTR1
C0740279	disease_gene	PLK4
C1720508	disease_gene	PEX1
C4083076	disease_gene	WASHC5
C4021768	disease_gene	ACOX1
C0014544	disease_gene	CASQ2
C0265213	disease_gene	MYH3
C0424688	disease_gene	NSD2
C0018798	disease_gene	MID1
C0038379	disease_gene	LIMK1
C0026827	disease_gene	ITPR1
C1145670	disease_gene	HADHA
C1838662	disease_gene	CLCN5
C0027627	disease_gene	MET
C1844752	disease_gene	SOX2
C0023186	disease_gene	HTR7
C0001973	disease_gene	ADH4
C0151526	disease_gene	HOXD13
C2315100	disease_gene	SLC12A1
C1836542	disease_gene	NPR2
C3489733	disease_gene	SPR
C0234146	disease_gene	RYR1
C0042514	disease_gene	DSP
C1837802	disease_gene	LEP
C3888004	disease_gene	HPS5
C0151526	disease_gene	PEX19
C3550234	disease_gene	PEX26
C3554446	disease_gene	GDF5
C1301510	disease_gene	IMPG2
C2053437	disease_gene	SMARCA2
C0019087	disease_gene	F7
C1857640	disease_gene	SLC25A15
C0268583	disease_gene	MMADHC
C0206686	disease_gene	MEN1
C4280618	disease_gene	NOTCH3
C0025323	disease_gene	F5
C0270736	disease_gene	GABRA1
C0021400	disease_gene	TNFAIP6
C0018989	disease_gene	TRNS1
C0026838	disease_gene	PLA2G6
C0085580	disease_gene	AGT
C4280258	disease_gene	HRAS
C0026850	disease_gene	SGCG
C0423113	disease_gene	GP1BB
C0007758	disease_gene	B9D1
C0022578	disease_gene	PRPH2
C4277682	disease_gene	CXCL1
C0026034	disease_gene	PIK3R2
C1835130	disease_gene	FBN1
C0004352	disease_gene	MACROD2
C0018799	disease_gene	UNC45B
C4025860	disease_gene	NBN
C0034069	disease_gene	IL12B
C1837760	disease_gene	NSD2
C0221357	disease_gene	DLL4
C0016382	disease_gene	KRT5
C0036341	disease_gene	SLC1A5
C0423110	disease_gene	SNAP29
C0271623	disease_gene	DMRT1
C4024761	disease_gene	BEST1
C0232744	disease_gene	SLC30A10
C1868571	disease_gene	KCNK9
C0009024	disease_gene	ABCB7
C0027746	disease_gene	UCHL1
C0022821	disease_gene	SLC26A2
C1855538	disease_gene	DDX11
C1837026	disease_gene	WT1
C4021768	disease_gene	GDF1
C0406702	disease_gene	EDARADD
C0024636	disease_gene	PCYT1A
C0005695	disease_gene	RALGPS1
C0497552	disease_gene	L2HGDH
C0005586	disease_gene	NEFM
C0011860	disease_gene	SLC2A1
C0009917	disease_gene	COL12A1
C1859126	disease_gene	PEX2
C0702166	disease_gene	MEFV
C1838993	disease_gene	CYTB
C0740392	disease_gene	C3
C0011334	disease_gene	NECTIN1
C3536741	disease_gene	GJA8
C0027794	disease_gene	RMRP
C1866134	disease_gene	FGFR3
C0014859	disease_gene	SFN
C0743359	disease_gene	LIMK1
C0741796	disease_gene	C1R
C0855740	disease_gene	BRAF
C0339573	disease_gene	FOXC1
C0024421	disease_gene	PTEN
C0342289	disease_gene	TRNE
C0027626	disease_gene	HGF
C0015967	disease_gene	C4A
C1269683	disease_gene	VEGFA
C0151313	disease_gene	PRPS1
C0014850	disease_gene	RMRP
C0022568	disease_gene	ERCC3
C0030312	disease_gene	TCN2
C1856057	disease_gene	MTRR
C4280262	disease_gene	KRT14
C2315100	disease_gene	FBXL4
C0221263	disease_gene	PMS2
C1280433	disease_gene	PIK3R1
C0026764	disease_gene	GSTT1
C1858085	disease_gene	LARP7
C0235986	disease_gene	GNAS
C0025990	disease_gene	RBM8A
C4072827	disease_gene	CRX
C0020538	disease_gene	PLAT
C0023890	disease_gene	SLC25A13
C0008350	disease_gene	PFKM
C3150808	disease_gene	ARL6
C0021364	disease_gene	CYP1A1
C0917816	disease_gene	COX10
C1837463	disease_gene	TNNT3
C4021957	disease_gene	PSEN1
C0241237	disease_gene	VDR
C4020874	disease_gene	BICD2
C4020875	disease_gene	PCK1
C1850667	disease_gene	TRIM32
C1970199	disease_gene	NSUN2
C0022821	disease_gene	GALNS
C0426824	disease_gene	COL1A2
C0220697	disease_gene	KIAA0586
C0231246	disease_gene	AMACR
C3279222	disease_gene	MYO7A
C0005745	disease_gene	LIG4
C4021739	disease_gene	HYAL1
C0040427	disease_gene	RAI1
C1865014	disease_gene	MOCS1
C0235430	disease_gene	BCKDHA
C0021846	disease_gene	CCND1
C4020876	disease_gene	TSHR
C1845112	disease_gene	FGFR3
C4022846	disease_gene	TG
C1835884	disease_gene	TRIM37
C0020255	disease_gene	RAP1B
C0086438	disease_gene	PRKCD
C1846171	disease_gene	ARX
C0034350	disease_gene	PDHA1
C0746102	disease_gene	CFTR
C0013491	disease_gene	USP8
C0014859	disease_gene	SERPINB3
C1641846	disease_gene	TGFBI
C0277828	disease_gene	ZMPSTE24
C1384666	disease_gene	NTF3
C1864897	disease_gene	GABRG2
C1832603	disease_gene	RPL15
C1721006	disease_gene	KRT1
C3160718	disease_gene	TBP
C0162429	disease_gene	LIPA
C0028768	disease_gene	NIPBL
C0014544	disease_gene	ITGB6
C1846435	disease_gene	NKX3-2
C4020899	disease_gene	NECAP1
C0522055	disease_gene	MTO1
C0428977	disease_gene	UTS2
C0085633	disease_gene	HNRNPA1
C1844592	disease_gene	COL5A2
C0086565	disease_gene	CPT1A
C4280603	disease_gene	CASK
C1863753	disease_gene	TP63
C0424688	disease_gene	LARGE1
C1854418	disease_gene	CD96
C1844947	disease_gene	GCSH
C1864897	disease_gene	ERCC1
C0023904	disease_gene	KRAS
C0236811	disease_gene	AHR
C0003504	disease_gene	PRKG1
C0020179	disease_gene	MAOB
C0024421	disease_gene	PEX1
C3810023	disease_gene	PUF60
C0001973	disease_gene	CHRM2
C1850456	disease_gene	RNASEH2A
C0034935	disease_gene	TYROBP
C1844527	disease_gene	RAB18
C0019156	disease_gene	CSF3
C0151744	disease_gene	KITLG
C0744641	disease_gene	CYTB
C0031090	disease_gene	TERT
C0011881	disease_gene	GAS6
C0231246	disease_gene	COL6A3
C3714506	disease_gene	MKS1
C4024818	disease_gene	RBP3
C1836195	disease_gene	COL2A1
C0029422	disease_gene	FLT1
C0043094	disease_gene	MEST
C1857108	disease_gene	SMAD4
C0035305	disease_gene	LRP2
C0345967	disease_gene	CXCL8
C0021655	disease_gene	MC4R
C0401151	disease_gene	IL21R
C1864897	disease_gene	KCNB1
C0024809	disease_gene	EGFR
C0025990	disease_gene	PI4KA
C0206686	disease_gene	KCNQ1
C0009691	disease_gene	BCOR
C3203102	disease_gene	FIG4
C4024820	disease_gene	CAPN5
C1168239	disease_gene	BCOR
C3554686	disease_gene	CARD11
C0751778	disease_gene	IER3IP1
C0026010	disease_gene	FANCA
C4020874	disease_gene	UBE3A
C0266617	disease_gene	MRPS16
C1401086	disease_gene	JAK2
C2316810	disease_gene	FAN1
C0025362	disease_gene	IDUA
C0151576	disease_gene	SUCLA2
C1385263	disease_gene	AUTS2
C2239176	disease_gene	CDH13
C0438237	disease_gene	ATM
C0042487	disease_gene	FGG
C0040053	disease_gene	CYP2C19
C1855565	disease_gene	DLAT
C0342384	disease_gene	FGFR1
C0542476	disease_gene	EIF2B3
C0007193	disease_gene	TNNI3K
C1836696	disease_gene	VCP
C0151889	disease_gene	MATR3
C0085633	disease_gene	PGK1
C1400105	disease_gene	SRCAP
C0279626	disease_gene	CFL1
C1510497	disease_gene	ERCC6
C0009324	disease_gene	JAK2
C0024809	disease_gene	CAMK2B
C1865872	disease_gene	INVS
C3808270	disease_gene	EVC
C0025202	disease_gene	REC8
C0021655	disease_gene	CPE
C0042963	disease_gene	SLC12A1
C2931107	disease_gene	CHRNA1
C1853736	disease_gene	MOGS
C0006625	disease_gene	COL12A1
C0917796	disease_gene	ND4L
C0017168	disease_gene	GABRD
C2931826	disease_gene	SCN4A
C0029456	disease_gene	CYP24A1
C2227134	disease_gene	LRP5
C0020305	disease_gene	HBA2
C0038587	disease_gene	CHRNA6
C0079352	disease_gene	GDF3
C4020887	disease_gene	PLCD1
C4021570	disease_gene	IMPDH1
C4025651	disease_gene	RET
C0020534	disease_gene	KCNH1
C1832603	disease_gene	TAZ
C0009081	disease_gene	KDM5C
C0028797	disease_gene	CYP1A1
C1834055	disease_gene	SIN3A
C0233794	disease_gene	PRNP
C4280533	disease_gene	NOTCH2
C0333068	disease_gene	CAV1
C1843367	disease_gene	AKT1
C0018799	disease_gene	SPP1
C0020534	disease_gene	FLNB
C2981150	disease_gene	TGFB3
C0334590	disease_gene	IDH2
C0522224	disease_gene	VCP
C0024121	disease_gene	MET
C4020846	disease_gene	CFD
C0003862	disease_gene	VCP
