dis	rel	gene
C4280370	disease_gene	CLIP2
C0011053	disease_gene	PEPD
C0018777	disease_gene	GP1BB
C0027055	disease_gene	HIF1A
C0009806	disease_gene	TGFBR2
C3554381	disease_gene	TMEM5
C0023434	disease_gene	KLRC4
C0013604	disease_gene	PTPRO
C4021753	disease_gene	TTC37
C0021843	disease_gene	TNFRSF1A
C0007758	disease_gene	PEX6
C3150281	disease_gene	KCNQ1OT1
C1862132	disease_gene	CHST3
C0030319	disease_gene	PAND2
C0405580	disease_gene	PEX16
C0029453	disease_gene	SKI
C0038379	disease_gene	PITX2
C4277682	disease_gene	MIR181C
C0581381	disease_gene	GLB1
C4280476	disease_gene	PTH1R
C0522055	disease_gene	RASA2
C4020875	disease_gene	AFF4
C1968852	disease_gene	GNAS
C0152421	disease_gene	TBX22
C1563720	disease_gene	FGFR1
C0854723	disease_gene	AHI1
C0026827	disease_gene	YWHAE
C0003873	disease_gene	ATIC
C2748958	disease_gene	IGLL1
C4225357	disease_gene	DNM1
C0024667	disease_gene	S1PR1
C0027962	disease_gene	LEMD3
C1850530	disease_gene	NKX3-2
C1857130	disease_gene	BANF1
C0038358	disease_gene	VGF
C1855773	disease_gene	PEX10
C0025202	disease_gene	TAS2R60
C0011581	disease_gene	TRNL1
C0231678	disease_gene	PAX3
C1860838	disease_gene	PTCH1
C1855677	disease_gene	TMEM216
C0855329	disease_gene	RPL35A
C0432055	disease_gene	LRP4
C4025871	disease_gene	GLB1
C0376628	disease_gene	UBE2T
C4023684	disease_gene	SLC6A1
C0015929	disease_gene	PRSS8
C0553580	disease_gene	ETV4
C0426414	disease_gene	PEPD
C1844505	disease_gene	CLIP2
C0039446	disease_gene	MRE11
C0038271	disease_gene	SNRPN
C2677516	disease_gene	PROM1
C0030305	disease_gene	CNR1
C0426414	disease_gene	PLA2G6
C3203102	disease_gene	CACNA1D
C0011168	disease_gene	TSEN34
C1856559	disease_gene	CTSA
C0016202	disease_gene	GAN
C0011581	disease_gene	GNRH1
C0005586	disease_gene	GABRR2
C0010417	disease_gene	PEX12
C4280664	disease_gene	MOCS1
C0344559	disease_gene	FKTN
C0032963	disease_gene	TNF
C0268335	disease_gene	COL5A1
C4020860	disease_gene	SETBP1
C0018273	disease_gene	PIK3CA
C0339789	disease_gene	GNAS
C1853237	disease_gene	ALX3
C1853562	disease_gene	SMN1
C0027497	disease_gene	IFNG
C0025362	disease_gene	TRIM32
C0038356	disease_gene	APC
C1864696	disease_gene	BSCL2
C0239234	disease_gene	MAF
C0008925	disease_gene	SUFU
C0025990	disease_gene	POLD1
C0024301	disease_gene	TYMS
C0007786	disease_gene	LIMK1
C0022073	disease_gene	STAT4
C0007222	disease_gene	GH1
C0012819	disease_gene	CLIP2
C0005779	disease_gene	KRAS
C2676285	disease_gene	PLOD3
C1854494	disease_gene	EEF2
C0004106	disease_gene	TRIM37
C4280625	disease_gene	DAG1
C4020840	disease_gene	ACVR1
C0036341	disease_gene	SLC25A12
C4025250	disease_gene	FGF20
C0007194	disease_gene	NAGA
C0028738	disease_gene	MPDU1
C0342491	disease_gene	ZMPSTE24
C0240635	disease_gene	MAP2K2
C0022116	disease_gene	SST
C1510586	disease_gene	ITGB3
C4280640	disease_gene	KIF1BP
C1879286	disease_gene	SCN1B
C0019202	disease_gene	HAMP
C0023890	disease_gene	TALDO1
C0544755	disease_gene	CLCN5
C0005699	disease_gene	BCR
C1857130	disease_gene	EP300
C0025286	disease_gene	PTEN
C0878773	disease_gene	TRPA1
C0239138	disease_gene	ATP6V0A2
C0010417	disease_gene	SOX9
C0151766	disease_gene	HSD17B4
C0730290	disease_gene	ALMS1
C4023452	disease_gene	STAT4
C3495559	disease_gene	CXCR4
C3839753	disease_gene	COL7A1
C0234958	disease_gene	NDUFAF3
C0020557	disease_gene	INS
C0008031	disease_gene	DLEC1
C0007131	disease_gene	CHFR
C1848097	disease_gene	BGN
C3550546	disease_gene	FGFR3
C0973461	disease_gene	ATP1A2
C3714756	disease_gene	UBE2T
C0079924	disease_gene	FGF20
C1837385	disease_gene	FBXL4
C1837402	disease_gene	MAN2B1
C0020534	disease_gene	PAX3
C1854928	disease_gene	COL11A2
C0025362	disease_gene	GMPPA
C2931456	disease_gene	CHEK2
C0018564	disease_gene	ALMS1
C2220104	disease_gene	DKC1
C0557874	disease_gene	STS
C3150924	disease_gene	SOBP
C1836688	disease_gene	MATN3
C0025362	disease_gene	BEST1
C0007873	disease_gene	ERCC1
C0025202	disease_gene	CUL3
C0023893	disease_gene	INPP5D
C0014544	disease_gene	TBX18
C4280669	disease_gene	DGCR8
C0587246	disease_gene	DYNC1H1
C0423903	disease_gene	AMT
C0011854	disease_gene	EIF2AK3
C0025500	disease_gene	PDGFC
C0002871	disease_gene	BMPR1A
C0007758	disease_gene	OPA1
C1864897	disease_gene	GALE
C4021768	disease_gene	PEX26
C0268569	disease_gene	BCKDHA
C0085682	disease_gene	CASR
C0023893	disease_gene	HFE2
C0023903	disease_gene	NUDCD3
C0269011	disease_gene	AIP
C1865014	disease_gene	RAPSN
C0423903	disease_gene	NR2E3
C4280606	disease_gene	RIN2
C1855996	disease_gene	POLG
C0020490	disease_gene	PDGFRB
C0042798	disease_gene	POMGNT1
C0266013	disease_gene	FLRT3
C0010278	disease_gene	HNRNPK
C0022116	disease_gene	PLAU
C0344539	disease_gene	ZNF592
C0022521	disease_gene	ZMYND10
C0026764	disease_gene	PRAME
C2673597	disease_gene	LAMA3
C0005695	disease_gene	YJEFN3
C1835762	disease_gene	ALX3
C3164374	disease_gene	PTPN11
C0524851	disease_gene	INA
C0423903	disease_gene	GNAS
C0025267	disease_gene	MEN1
C1837458	disease_gene	SACS
C2751898	disease_gene	DPP6
C1852551	disease_gene	COL17A1
C0009404	disease_gene	IGFBP3
C3714756	disease_gene	SCAPER
C3665347	disease_gene	ADNP
C4020891	disease_gene	GJA1
C0017567	disease_gene	NFIX
C0022658	disease_gene	LEPR
C0025202	disease_gene	IFNB1
C0346647	disease_gene	VHL
C0030354	disease_gene	EGFR
C0271623	disease_gene	CHD7
C0027720	disease_gene	SOD1
C0344559	disease_gene	POMT1
C0557874	disease_gene	SETD5
C4020730	disease_gene	COX10
C4280643	disease_gene	LBR
C0026827	disease_gene	STAMBP
C4020884	disease_gene	ANG
C1864985	disease_gene	HINT1
C0015967	disease_gene	WIPF1
C1860121	disease_gene	ZFPM2
C0011991	disease_gene	TREH
C0557874	disease_gene	NSD2
C0700208	disease_gene	AUTS2
C1837108	disease_gene	MKRN3
C1851868	disease_gene	SKIV2L
C3554669	disease_gene	LRP5
C4072824	disease_gene	RAI1
C4020962	disease_gene	GATA4
C0345309	disease_gene	ZFPM2
C0003811	disease_gene	ELN
C0036572	disease_gene	IVD
C0019209	disease_gene	SCO1
C0036572	disease_gene	NGF
C0554970	disease_gene	ATXN1
C0036572	disease_gene	FOXG1
C0013404	disease_gene	MARS
C4020874	disease_gene	LAMA2
C0038868	disease_gene	EIF2AK3
C0856750	disease_gene	MYH11
C0683322	disease_gene	RIN2
C1458155	disease_gene	LDHAL6B
C0151889	disease_gene	PAH
C3809210	disease_gene	B3GALT6
C1849025	disease_gene	SH2B1
C0340100	disease_gene	GUCY1A3
C4020875	disease_gene	FLI1
C0917816	disease_gene	GABRD
C0002395	disease_gene	SLC30A6
C0268079	disease_gene	SCO1
C4225351	disease_gene	POGZ
C1838876	disease_gene	TRNT
C0026827	disease_gene	NDUFV1
C0747078	disease_gene	LIFR
C0041755	disease_gene	HAVCR1
C1844704	disease_gene	KIF22
C0038454	disease_gene	TREX1
C0020538	disease_gene	SOD2
C3714796	disease_gene	PRKAR1A
C0853087	disease_gene	ABCA12
C0524620	disease_gene	CCL2
C4280645	disease_gene	FOS
C2315100	disease_gene	LAMA3
C4024753	disease_gene	NEK2
C1860816	disease_gene	CTBP1
C1857121	disease_gene	STXBP1
C0234133	disease_gene	LIPT1
C0339789	disease_gene	SMARCA4
C0263637	disease_gene	AGSPX
C0024032	disease_gene	GK
C1861732	disease_gene	ITPR1
C0349588	disease_gene	BAZ1B
C0011860	disease_gene	SFRP4
C0151889	disease_gene	NDUFB3
C0022408	disease_gene	LBR
C0000786	disease_gene	CYP24A1
C3806482	disease_gene	TERT
C4280616	disease_gene	TP63
C0041696	disease_gene	RNF41
C1839039	disease_gene	CBL
C0349588	disease_gene	SLC35C1
C3714756	disease_gene	CHMP1A
C4025650	disease_gene	IL12A
C0038356	disease_gene	WDR46
C0023893	disease_gene	KMO
C0023893	disease_gene	CLP1
C0238621	disease_gene	EHHADH
C1849121	disease_gene	AP4E1
C4280538	disease_gene	CREBBP
C2674608	disease_gene	REV3L
C0431406	disease_gene	ACF
C1833362	disease_gene	APOE
C0259817	disease_gene	MPDU1
C0521525	disease_gene	SMC1A
C1856468	disease_gene	PEX1
C1858452	disease_gene	DYM
C4020899	disease_gene	ASAH1
C0007873	disease_gene	CLPTM1L
C0424688	disease_gene	RAD50
C1862932	disease_gene	COL3A1
C1866487	disease_gene	NF1
C1849039	disease_gene	MATN3
C0036341	disease_gene	OPCML
C0024121	disease_gene	FAS
C0151313	disease_gene	SLC12A6
C0085584	disease_gene	CYTB
C0557874	disease_gene	MBTPS2
C0426789	disease_gene	LFNG
C4072825	disease_gene	SLC17A5
C0007134	disease_gene	FMN2
C0339789	disease_gene	ASPA
C0033578	disease_gene	PSMC3IP
C0029456	disease_gene	PDLIM4
C0333068	disease_gene	AP4S1
C0038379	disease_gene	SOX2
C2752013	disease_gene	EBP
C1858233	disease_gene	CLQTL1
C1838681	disease_gene	ARHGDIA
C0023434	disease_gene	BCL2
C3150880	disease_gene	TBX4
C1386048	disease_gene	PLOD3
C0231686	disease_gene	ATP7A
C0042454	disease_gene	DGCR6
C1858556	disease_gene	FBN1
C0392386	disease_gene	JAK2
C2936781	disease_gene	CLCN1
C0018834	disease_gene	TFAP2A
C1847766	disease_gene	DES
C2674738	disease_gene	NRAS
C1839764	disease_gene	ALX3
C0007137	disease_gene	ANXA1
C1848673	disease_gene	RAD21
C0262361	disease_gene	LRP5
C1845977	disease_gene	ATRX
C0349588	disease_gene	RAD50
C0349588	disease_gene	PAX1
C1849766	disease_gene	DGUOK
C0038379	disease_gene	NRAS
C3714756	disease_gene	GSS
C2700553	disease_gene	RAG2
C0036601	disease_gene	ADSL
C0023893	disease_gene	TIMP2
C0278124	disease_gene	LPIN1
C0001418	disease_gene	HRH4
C1842688	disease_gene	POMGNT1
C0151526	disease_gene	DHCR7
C3887980	disease_gene	OPN1LW
C1858351	disease_gene	TTBK2
C1867955	disease_gene	CTNNB1
C0014550	disease_gene	SCN1A
C1834372	disease_gene	HCRT
C4280617	disease_gene	SETBP1
C0011334	disease_gene	LAMC2
C0011581	disease_gene	SRD5A1
C0175754	disease_gene	GDF1
C1849937	disease_gene	SHOX
C1844592	disease_gene	COL1A1
C1836830	disease_gene	CLN5
C1866934	disease_gene	MFN2
C0268181	disease_gene	LCT
C0270948	disease_gene	FRG1
C0007222	disease_gene	EDN1
C4280808	disease_gene	PDE6D
C1298695	disease_gene	TRPM1
C4020899	disease_gene	DAG1
C4255213	disease_gene	WDR60
C0272027	disease_gene	FANCF
C1865572	disease_gene	ZIC3
C1855100	disease_gene	MCEE
C0038002	disease_gene	DOLK
C0019294	disease_gene	CLIP2
C0346388	disease_gene	GNAQ
C0029456	disease_gene	FGB
C3275417	disease_gene	SLC25A4
C0271650	disease_gene	HNF1B
C0011616	disease_gene	SERPINB4
C0007138	disease_gene	CCND1
C0221629	disease_gene	TRDN
C1860475	disease_gene	ND6
C1842714	disease_gene	RAG2
C1843367	disease_gene	RAD51
C1856749	disease_gene	NOG
C1849073	disease_gene	CHRNG
C0266387	disease_gene	RARB
C0016978	disease_gene	UCHL1
C0007131	disease_gene	KRAS
C0018772	disease_gene	KYNU
C4020874	disease_gene	MED12
C4021465	disease_gene	BMPR1B
C1458155	disease_gene	ADAMTS1
C1867743	disease_gene	APOB
C0025990	disease_gene	SEC24D
C1850900	disease_gene	BCL10
C0266470	disease_gene	ERF
C1836543	disease_gene	SOX11
C0277828	disease_gene	CREBBP
C3151226	disease_gene	FCN3
C1837653	disease_gene	SNRPN
C0085584	disease_gene	COX15
C0431399	disease_gene	CEP104
C1842231	disease_gene	FBN1
C4025896	disease_gene	PTEN
C0017567	disease_gene	DHCR7
C0917816	disease_gene	PAH
C4021776	disease_gene	SMAD4
C0442874	disease_gene	NAGA
C1858285	disease_gene	TFG
C4020731	disease_gene	CYP17A1
C0037286	disease_gene	MDM2
C0042063	disease_gene	SAMD9
C1846434	disease_gene	TBX3
C0221356	disease_gene	LRP5
C2751582	disease_gene	COX1
C0751895	disease_gene	PLAT
C0266435	disease_gene	RHO
C2315100	disease_gene	MECP2
C0029456	disease_gene	ZFPM2
C0001339	disease_gene	AGPAT2
C1847584	disease_gene	SPTLC2
C0917816	disease_gene	RAD51
C0034067	disease_gene	HMOX1
C4280642	disease_gene	PTCH1
C4280374	disease_gene	XRCC4
C4020856	disease_gene	SCP2
C0151576	disease_gene	LIMK1
C1848771	disease_gene	ZMPSTE24
C0919267	disease_gene	CCNE1
C1845977	disease_gene	HCFC1
C1865200	disease_gene	COL9A3
C0002170	disease_gene	RECQL4
C1837352	disease_gene	FECH
C0011615	disease_gene	IL4
C1843505	disease_gene	UBA1
C2752013	disease_gene	PLEC
C0036572	disease_gene	GABRA5
C2316810	disease_gene	NPHP1
C0014544	disease_gene	POLG
C1855710	disease_gene	LBR
C1844704	disease_gene	KCNJ8
C1851854	disease_gene	ITGB4
C0005586	disease_gene	MAPT
C1839798	disease_gene	SOX11
C0041696	disease_gene	GNB3
C0026838	disease_gene	HSD17B10
C4020899	disease_gene	COL6A1
C0026640	disease_gene	CLPTM1L
C0007137	disease_gene	IFNA2
